about,accommodation,address,biodynamic,booking_required,cellar_tours,city,conference_facilities,contact,cover_image_url,created_at,currently_producing,cycling,data_source,district,email,estate_size_ha,events_venue,facebook,family_friendly,famous_for,founded_year,google_maps_url,google_rating,google_reviews,hiking,history,id,instagram,is_verified,last_verified,latitude,legal_name,linkedin,live_music,logo_url,longitude,market,name,notes,opening_hours,organic,owner,owner_user_id,pet_friendly,phone,picnic,postcode,price_range,province,rating,region,restaurant,running,slug,subscription_tier,sustainable,tasting_room,tasting_room_hours,tripadvisor,updated_at,vineyard_size_ha,ward,website_url,wedding_venue,wheelchair_access,wine_route,wine_route_id,winemaker,wo_appellation_id,youtube
Backsberg is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T12:25:03.37731+00:00,True,False,hemelval-research,,,,False,,False,Pinotage; Cabernet Sauvignon,,,,,False,,34d5b356-197a-4f4d-843b-ecfe23dbbe42,,True,,,,,False,,,False,Backsberg,,,False,,,False,,False,,,Western Cape,,,False,False,backsberg,,False,False,,,2026-08-02T12:49:24.298834+00:00,,,https://www.backsberg.co.za/,False,False,,,,,
"Badsberg Wine Cellar is a co-operative in the Breedekloof valley, producing reliable value wines from member farmers' fruit. The Breedekloof's warm days and cool nights give their Chenin Blanc a distinctive fresh-fruit character that punches well above its price point.",False,,False,False,False,,False,,,2026-08-02T12:36:33.861315+00:00,True,False,hemelval-research,,,,False,,False,Chenin Blanc; value wines,,,,,False,,7d163277-fbcd-4c37-8a2e-473b491cd487,,True,,,,,False,,,False,Badsberg,,,False,,,False,,False,,,Western Cape,,,False,False,breedekloof-badsberg,,False,False,,,2026-08-02T12:49:44.084921+00:00,,,https://www.badsberg.co.za/,False,False,,,,,
"Bartinney is a boutique family estate on the Helshoogte Pass, owned by the Jordaan family. The estate's steep vineyards — some of the most dramatically sited in Stellenbosch — produce Cabernet Sauvignon and Sauvignon Blanc of exceptional quality. The family's commitment to sustainable farming and meticulous viticulture is evident in every bottle.",False,,False,False,False,,False,,,2026-08-02T12:36:38.139966+00:00,True,False,hemelval-research,,,,False,,False,Cabernet Sauvignon; Sauvignon Blanc,,,,,False,,db486c22-88c4-464c-b730-f816e216deea,,True,,,,,False,,,False,Bartinney,,,False,,,False,,False,,,Western Cape,,,False,False,bartinney,,False,False,,,2026-08-02T12:49:48.415464+00:00,,,https://www.bartinney.co.za/,False,False,,,,,
Beau Constantia is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T12:23:33.785201+00:00,True,False,hemelval-research,,,,False,,False,Sauvignon Blanc; Syrah,,,,,False,,f31e2307-adbd-44f8-bcc9-f6e8f42091ad,,True,,,,,False,,,False,Beau Constantia,,,False,,,False,,False,,,Western Cape,,,False,False,beau-constantia,,False,False,,,2026-08-02T12:49:14.287664+00:00,,,https://www.beauconstantia.com/,False,False,,,,,
"A family-owned estate in the Bottelary Hills of Stellenbosch, Bellevue has built its reputation as a Pinotage specialist. The estate's old bush vine Pinotage blocks consistently produce fruit of exceptional concentration, yielding wines that have earned multiple SA and international accolades.",False,,False,False,False,,False,,,2026-08-02T12:36:26.289131+00:00,True,False,hemelval-research,,,,False,,False,Pinotage,,,,,False,,4dca316b-2506-4de1-a0e4-12d77fd07a23,,True,,,,,False,,,False,Bellevue,,,False,,,False,,False,,,Western Cape,,,False,False,bellevue,,False,False,,,2026-08-02T12:49:36.42214+00:00,,,https://www.bellevue.co.za/,False,False,,,,,
A small-batch producer focused on Chenin Blanc from carefully selected old-vine vineyards. Bertha's Wines represents the growing movement of micro-producers in the Western Cape who source fruit from heritage vineyards rather than owning their own land.,False,,False,False,False,,False,,,2026-08-02T12:36:26.597153+00:00,True,False,hemelval-research,,,,False,,False,Chenin Blanc,,,,,False,,394fa9b4-8149-461e-bc78-14e15d716fc6,,True,,,,,False,,,False,Bertha's Wines,,,False,,,False,,False,,,Western Cape,,,False,False,bertha,,False,False,,,2026-08-02T12:49:36.723215+00:00,,,,False,False,,,,,
Beyerskloof is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T12:25:01.035375+00:00,True,False,hemelval-research,,,,False,,False,Pinotage; Cape Blends,,,,,False,,78f782e4-59df-4d55-af82-2689ae997e02,,True,,,,,False,,,False,Beyerskloof,,,False,,,False,,False,,,Western Cape,,,False,False,beyerskloof,,False,False,,,2026-08-02T12:49:21.602654+00:00,,,https://www.beyerskloof.co.za/,False,False,,,,,
Blaauwklippen is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T12:25:01.33419+00:00,True,False,hemelval-research,,,,False,,False,Zinfandel; white blends,1682,,,,False,,a78fba7a-cc9c-4e18-b772-5055bf2397f0,,True,,,,,False,,,False,Blaauwklippen,,,False,,,False,,False,,,Western Cape,,,False,False,blaauwklippen,,False,False,,,2026-08-02T12:49:21.92462+00:00,,,https://www.blaauwklippen.com/,False,False,,,,,
Boekenhoutskloof is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T11:10:41.898427+00:00,True,False,hemelval-research,,,,False,,False,The Chocolate Block; Syrah,1776,,,,False,,8ced5fa6-aced-4ce1-9350-1ed98eec5f20,,True,,,,,False,,,False,Boekenhoutskloof,,,False,,,False,,False,,,Western Cape,,,False,False,boekenhoutskloof,,False,False,,,2026-08-02T12:49:05.234389+00:00,,,https://www.boekenhoutskloof.co.za/,False,False,,,,,
Bon Courage is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T12:29:05.036235+00:00,True,False,hemelval-research,,,,False,,False,Cabernet; Chenin Blanc,,,,,False,,cbfd02ce-6630-4804-8b2b-23797be7ce8f,,True,,,,,False,,,False,Bon Courage,,,False,,,False,,False,,,Western Cape,,,False,False,bon-courage,,False,False,,,2026-08-02T12:49:35.177741+00:00,,,https://www.boncourage.co.za/,False,False,,,,,
Boplaas is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T11:18:22.762463+00:00,True,False,hemelval-research,,,,False,,False,Cape Tawny; Cape Vintage Reserve,1880,,,,False,,88a7f481-6b02-410c-a7cb-b4bbf93eda8a,,True,,,,,False,,,False,Boplaas,,,False,,,False,,False,,,Western Cape,,,False,False,boplaas,,False,False,,,2026-08-02T12:49:12.421517+00:00,,,https://www.boplaas.co.za/,False,False,,,,,
Boschendal is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T11:18:22.762463+00:00,True,False,hemelval-research,,,,False,,False,MCC; 1685 range,1685,,,,False,,ea3c97df-f725-4fa7-8c8c-5d76f7c6653b,,True,,,,,False,,,False,Boschendal,,,False,,,False,,False,,,Western Cape,,,False,False,boschendal,,False,False,,,2026-08-02T12:49:08.357644+00:00,,,https://www.boschendal.com/,False,False,,,,,
Bouchard Finlayson is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T11:18:22.762463+00:00,True,False,hemelval-research,,,,False,,False,Pinot Noir; Galpin Peak,1989,,,,False,,7e61fcb0-bec3-4362-a8e0-95514d8d50f0,,True,,,,,False,,,False,Bouchard Finlayson,,,False,,,False,,False,,,Western Cape,,,False,False,bouchard-finlayson,,False,False,,,2026-08-02T12:49:11.215506+00:00,,,https://www.bouchardfinlayson.co.za,False,False,,,,,
Buitenverwachting is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T12:23:33.47944+00:00,True,False,hemelval-research,,,,False,,False,Sauvignon Blanc; Cape blends,1773,,,,False,,41df97b1-976d-4a8e-bbab-da4c334aa5a1,,True,,,,,False,,,False,Buitenverwachting,,,False,,,False,,False,,,Western Cape,,,False,False,buitenverwachting,,False,False,,,2026-08-02T12:49:13.98352+00:00,,,https://www.buitenverwachting.co.za/,False,False,,,,,
"Calitzdorp Wine Cellar is a co-operative in SA's port capital, producing fortified wines from Portuguese varieties (Tinta Barroca, Touriga Nacional) planted on the region's warm, arid soils. Their Cape Tawny is aged oxidatively in old oak barrels, developing complex notes of caramel, walnut, and dried fruit.",False,,False,False,False,,False,,,2026-08-02T12:36:39.667379+00:00,True,False,hemelval-research,,,,False,,False,Port-style wines; Tinta Barroca,,,,,False,,8c8b2a51-3fce-4b41-94d7-10a9c7f51066,,True,,,,,False,,,False,Calitzdorp Wine Cellar,,,False,,,False,,False,,,Western Cape,,,False,False,calitzdorp-cellar,,False,False,,,2026-08-02T12:49:50.230887+00:00,,,,False,False,,,,,
"Cavalli Estate — named from the Italian for 'horses' — is a modern estate on the R44 between Stellenbosch and Somerset West that combines an equine stud, a celebrated farm-to-table restaurant, and wine production. Their Cabernet Sauvignon and Sauvignon Blanc are produced from vineyards on the slopes of the Helderberg.",False,,False,False,False,,False,,,2026-08-02T12:36:26.901172+00:00,True,False,hemelval-research,,,,False,,False,Cabernet Sauvignon; Sauvignon Blanc,,,,,False,,24aabdca-bd22-4764-854d-6b5d411315fb,,True,,,,,False,,,False,Cavalli,,,False,,,False,,False,,,Western Cape,,,False,False,cavalli,,False,False,,,2026-08-02T12:49:37.025582+00:00,,,https://www.cavalliestate.co.za/,False,False,,,,,
Cederberg Private Cellar is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T11:18:22.762463+00:00,True,False,hemelval-research,,,,False,,False,Cabernet Sauvignon; Sauvignon Blanc,1990,,,,False,,512a3c44-3062-4d2a-b932-56ce5ce1b178,,True,,,,,False,,,False,Cederberg Private Cellar,,,False,,,False,,False,,,Western Cape,,,False,False,cederberg,,False,False,,,2026-08-02T12:49:12.730331+00:00,,,https://www.cederbergwine.com/,False,False,,,,,
Chamonix is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T12:28:26.942282+00:00,True,False,hemelval-research,,,,False,,False,Pinot Noir; Sauvignon Blanc; Grey Lace MCC,,,,,False,,7bb823f1-2a6f-4896-9a0e-db012528f593,,True,,,,,False,,,False,Chamonix,,,False,,,False,,False,,,Western Cape,,,False,False,chamonix,,False,False,,,2026-08-02T12:49:30.280031+00:00,,,https://www.chamonix.co.za/,False,False,,,,,
Charles Fox is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T12:29:03.505553+00:00,True,False,hemelval-research,,,,False,,False,MCC; Cap Classique,,,,,False,,6c76eb59-fd59-4cc8-8219-57194564bf80,,True,,,,,False,,,False,Charles Fox,,,False,,,False,,False,,,Western Cape,,,False,False,charles-fox,,False,False,,,2026-08-02T12:49:33.660936+00:00,,,https://www.charlesfoxwines.co.za/,False,False,,,,,
"Clos Malverne is situated in the Devon Valley, one of Stellenbosch's cooler sub-regions, where morning mists and afternoon sea breezes create ideal conditions for slow ripening. The estate is known for its Auret red blend and Pinotage, produced from vineyards that have been in the family for three generations.",False,,False,False,False,,False,,,2026-08-02T12:36:27.205668+00:00,True,False,hemelval-research,,,,False,,False,Auret blend; Pinotage,,,,,False,,514d4d68-e6e6-4721-baca-e9254b9ae52b,,True,,,,,False,,,False,Clos Malverne,,,False,,,False,,False,,,Western Cape,,,False,False,clos-malverne,,False,False,,,2026-08-02T12:49:37.351812+00:00,,,https://www.closmalverne.co.za/,False,False,,,,,
"A family-run estate with a distinctive barrel-shaped cellar that greets visitors on arrival. Compagniesdrift produces solid, traditional Stellenbosch wines from mature vineyards, with Cabernet Sauvignon and Chenin Blanc as the main varieties.",False,,False,False,False,,False,,,2026-08-02T12:36:27.517221+00:00,True,False,hemelval-research,,,,False,,False,Cabernet Sauvignon; Chenin,,,,,False,,e13bc27e-5320-4436-a7db-1e8a5076db6e,,True,,,,,False,,,False,Compagniesdrift,,,False,,,False,,False,,,Western Cape,,,False,False,compagniesdrift,,False,False,,,2026-08-02T12:49:37.651114+00:00,,,,False,False,,,,,
Constantia Glen is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T12:23:34.558768+00:00,True,False,hemelval-research,,,,False,,False,Bordeaux blends; Sauvignon Blanc,,,,,False,,e08b3da6-b693-4e16-a9fc-c5d30d66ede4,,True,,,,,False,,,False,Constantia Glen,,,False,,,False,,False,,,Western Cape,,,False,False,constantia-glen,,False,False,,,2026-08-02T12:49:14.609716+00:00,,,https://www.constantiaglen.com/,False,False,,,,,
Craven Wines is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T12:28:26.311213+00:00,True,False,hemelval-research,,,,False,,False,Pinot Noir; Chenin; Syrah,,,,,False,,d85e3878-4fc7-4eba-8f81-9f639eb111f2,,True,,,,,False,,,False,Craven Wines,,,False,,,False,,False,,,Western Cape,,,False,False,craven,,False,False,,,2026-08-02T12:49:29.676715+00:00,,,https://www.cravenwines.com/,False,False,,,,,
Creation Wines is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T11:18:22.762463+00:00,True,False,hemelval-research,,,,False,,False,Pinot Noir; Chardonnay,2002,,,,False,,fd034629-fd12-41fb-ba59-e5caa2ca0fa5,,True,,,,,False,,,False,Creation Wines,,,False,,,False,,False,,,Western Cape,,,False,False,creation-wines,,False,False,,,2026-08-02T12:49:10.911549+00:00,,,https://www.creationwines.com,False,False,,,,,
Crystallum is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T12:23:38.20597+00:00,True,False,hemelval-research,,,,False,,False,Pinot Noir; Chardonnay,,,,,False,,1ee47d76-4f2a-453b-b136-704f32ca238b,,True,,,,,False,,,False,Crystallum,,,False,,,False,,False,,,Western Cape,,,False,False,crystallum,,False,False,,,2026-08-02T12:49:18.239736+00:00,,,https://www.crystallum.co.za/,False,False,,,,,
"Darling Cellars is situated in the cool coastal region near the West Coast, where the Atlantic's influence gives the wines a distinctive freshness and acidity. The estate's Sauvignon Blanc shows nettle, gooseberry, and lime with a maritime minerality that reflects the region's proximity to the cold Benguela Current.",False,,False,False,False,,False,,,2026-08-02T12:36:39.055153+00:00,True,False,hemelval-research,,,,False,,False,Sauvignon Blanc; Pinot Noir,,,,,False,,9f17849f-894b-42d6-adef-a491b9f257e6,,True,,,,,False,,,False,Darling Cellars,,,False,,,False,,False,,,Western Cape,,,False,False,darling-cellars,,False,False,,,2026-08-02T12:49:49.481697+00:00,,,https://www.darlingcellars.co.za/,False,False,,,,,
"Daschbosch is an old-vine specialist in the Breedekloof, sourcing Chenin Blanc from vineyards planted 30+ years ago on dryland bush vines. The region's granite and schist soils give these old vines a mineral intensity that has made Daschbosch a darling of the natural-wine movement.",False,,False,False,False,,False,,,2026-08-02T12:36:34.167573+00:00,True,False,hemelval-research,,,,False,,False,Chenin Blanc; old-vine wines,,,,,False,,4ad1a80d-65bd-4d5e-9ca0-04c747a64219,,True,,,,,False,,,False,Daschbosch,,,False,,,False,,False,,,Western Cape,,,False,False,breedekloof-daschbosch,,False,False,,,2026-08-02T12:49:44.392295+00:00,,,https://www.daschbosch.co.za/,False,False,,,,,
David & Nadia is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T12:29:02.900912+00:00,True,False,hemelval-research,,,,False,,False,Elpidia; Aristargos; old-vine Chenin,,,,,False,,4146ca37-1966-4f82-96a5-eedc0e08e0b4,,True,,,,,False,,,False,David & Nadia,,,False,,,False,,False,,,Western Cape,,,False,False,david-nadia,,False,False,,,2026-08-02T12:49:33.355826+00:00,,,https://www.davidnadie.com/,False,False,,,,,
De Grendel is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T11:18:22.762463+00:00,True,False,hemelval-research,,,,False,,False,Sauvignon Blanc; Pinotage,1720,,,,False,,10e4cd8e-6ddf-4522-9534-94a4fd6a039c,,True,,,,,False,,,False,De Grendel,,,False,,,False,,False,,,Western Cape,,,False,False,de-grendel,,False,False,,,2026-08-02T12:49:09.885529+00:00,,,https://www.degrendel.co.za/,False,False,,,,,
De Krans is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T12:23:39.104699+00:00,True,False,hemelval-research,,,,False,,False,Cape Vintage Reserve; MCC; Chenin,,,,,False,,ad26cdec-2de6-41b3-adee-667f5ba719c3,,True,,,,,False,,,False,De Krans,,,False,,,False,,False,,,Western Cape,,,False,False,de-krans,,False,False,,,2026-08-02T12:49:19.124887+00:00,,,https://dekrans.co.za/,False,False,,,,,
"De Morgenzon ('Morning Light') is famous for playing Baroque and classical music through speakers in its vineyards — a practice the estate believes enhances ripening. Whether or not the vines are listening, the wines are exceptional: richly textured Chardonnay and Chenin Blanc from elevated vineyards on the Stellenbosch berg that consistently rank among SA's best whites.",False,,False,False,False,,False,,,2026-08-02T12:36:27.817506+00:00,True,False,hemelval-research,,,,False,,False,Chardonnay; Chenin Blanc,,,,,False,,a9476df5-ace1-4e1d-a15a-c194828cd423,,True,,,,,False,,,False,De Morgenzon,,,False,,,False,,False,,,Western Cape,,,False,False,de-morgenzon,,False,False,,,2026-08-02T12:49:37.951096+00:00,,,https://www.demorgenzon.com/,False,False,,,,,
De Wetshof is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T11:18:22.762463+00:00,True,False,hemelval-research,,,,False,,False,Chardonnay,1972,,,,False,,294dc770-4aaa-40fd-ba72-468206b2a999,,True,,,,,False,,,False,De Wetshof,,,False,,,False,,False,,,Western Cape,,,False,False,de-wetshof,,False,False,,,2026-08-02T12:49:10.200184+00:00,,,https://www.dewetshof.co.za/,False,False,,,,,
Delaire Graff is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T12:24:59.244194+00:00,True,False,hemelval-research,,,,False,,False,Botmaskop blend; luxury hospitality,,,,,False,,bde6b4c3-d762-42d4-ae91-b555f273ffe1,,True,,,,,False,,,False,Delaire Graff,,,False,,,False,,False,,,Western Cape,,,False,False,delaire-graff,,False,False,,,2026-08-02T12:49:19.713884+00:00,,,https://www.delaire.co.za/,False,False,,,,,
Delheim is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T12:25:00.142012+00:00,True,False,hemelval-research,,,,False,,False,Vera Cruz Shiraz,,,,,False,,df0d55fd-eaed-4d2b-97d9-18fc715fa273,,True,,,,,False,,,False,Delheim,,,False,,,False,,False,,,Western Cape,,,False,False,delheim,,False,False,,,2026-08-02T12:49:20.620807+00:00,,,https://www.delheim.com/,False,False,,,,,
Diemersdal is a wine estate in the Western Cape producing wines that reflect the unique terroir of the South African winelands. The estate is committed to quality winemaking and sustainable viticulture practices.,False,,False,False,False,,False,,,2026-08-02T12:23:35.492517+00:00,True,False,hemelval-research,,,,False,,False,Sauvignon Blanc,1698,,,,False,,0814ac4e-bd08-46b5-b4ec-73ac05d3bd58,,True,,,,,False,,,False,Diemersdal,,,False,,,False,,False,,,Western Cape,,,False,False,diemersdal,,False,False,,,2026-08-02T12:49:15.508008+00:00,,,https://www.diemersdal.co.za/,False,False,,,,,
